Resultado das Analogias
A          | B          | C          | D                | Acurácia da Analogias | Palavras Preditas                       
--------------------------------------------------------------------------------------------------------------
rei        | rainha     | homem      | mulher          | 0.0000 | namereglasgt, reitor, publicadodepartamento, bizantina, fco, cosseno, musical, timesdataacessodataltrefgt, metafasica, montador 
escola     | professor  | aluno      | estudante       | 0.0000 | usa, destaque, provocou, domesticados, fosseis, calculo, projeaaes, desejado, alimentares, since 
amigo      | amiga      | homem      | mulher          | 0.0000 | namequotberlimquotgt, procuraram, mexicanos, martirio, journalism, aniversario, commonwealth, escolhidas, patriarca, morumbiacessodata 
vermelho   | azul       | rosa       | verde           | 0.0000 | voltada, philipp, lovelace, usuarioluis, suprimento, argumenta, aquino, solucionar, future, painais 
luz        | noite      | sol        | dia             | 0.0000 | artemis, vista, praga, planetas, solar, lauro, ltref, prancipe, paulo, papa 
sol        | lua        | estrela    | planeta         | 0.0000 | missao, ano, jogo, tycho, nasa, primeiro, papa, primeira, rei, livro 
escola     | professor  | estudante  | aluno           | 0.0000 | domesticados, publicadouniversidade, calculo, usa, destaque, mongois, matthew, abe, tornariam, conquistando 
quente     | frio       | calor      | gelo            | 0.0000 | padraes, reside, coleaao, filhos, prensa, hipatese, carbono, tatulothe, levaram, skylab 
mar        | oceano     | rio        | lago            | 0.0000 | naomeros, mil, instrumentos, refend, cientistas, externas, japoneses, left, morreu, alguma 
escritor   | livro      | autor      | manuscrito      | 0.0000 | motivos, oda, autocarro, afirmando, torna, iorque, permitido, navio, dessas, ames 
telefone   | celular    | computador | tablet          | 0.0000 | buddhist, vulneraveis, pensar, eclaptica, pbs, coroacao, monarquico, renascentista, college, poderosos 
cineasta   | filme      | ator       | atriz           | 0.0000 | perene, otimo, netherlandsanopaginasisbnltrefgt, nepomniachtchi, physikalische, algarvio, germano, defensiva, reparacao, azevedo 
pintor     | quadro     | artista    | escultura       | 0.0000 | vestibular, scienceultimogodfreysmithprimeiropetereditorauniversity, competente, deposiaao, documentation, giro, rui, curiosidades, belize, infinitas 
jogo       | jogador    | esporte    | time            | 0.0000 | atlantico, duquesa, intel, periadiconature, alegre, abe, homo, author, nobreza, alighieri 
estudante  | professor  | aula       | curso           | 0.0000 | anticoagulant, casual, macaxeira, quotarea, explorador, hamburgo, gametafitos, taxonomiasistematica, harvborweinchoirooneyweirathmueller, integra 
fogo       | chama      | calor      | frio            | 0.0000 | importancia, combustao, historia, situacao, materiais, nunca, inclui, soderini, fatos, europa 
professor  | aluno      | escola     | livro           | 0.0000 | tempos, consta, termo, espaaonaves, instalaaaes, reformas, ruins, from, grega, combustao 
professor  | estudante  | aluno      | escolar         | 0.0000 | tempos, alcool, grega, consta, from, centros, ascensao, information, peaas, instalaaaes 
sol        | lua        | estrela    | noite           | 0.0000 | missao, ano, jogo, tycho, nasa, primeiro, papa, primeira, rei, livro 
pintor     | quadro     | artista    | galeria         | 0.0000 | vestibular, scienceultimogodfreysmithprimeiropetereditorauniversity, competente, deposiaao, documentation, giro, rui, curiosidades, belize, infinitas 
fogo       | calor      | gelo       | frio            | 0.0000 | natural, fato, volta, construir, muitos, usavam, homem, previsto, mesma, atravas 
tenis      | jogador    | bola       | esporte         | 0.0000 | robin, exceaao, tornariam, revoluaaes, excentricidade, harrington, army, expedicao, espacie, relatou 
caminho    | estrada    | rua        | cidade          | 0.0000 | angular, talha, lideranaa, facto, tempos, petroleo, quioto, cobre, ligeiramente, antihorario 
livro      | leitura    | biblioteca | autor           | 0.0000 | nasce, modernos, troncos, filosaficos, desencadeou, lualtref, estatuetas, utilizando, ceara, partidos 
pintura    | cor        | tela       | artista         | 0.0000 | tocantinsquot, globe, chiavenato, lutou, observations, aridas, sucedido, atomicas, milametros, fluem 
computador | tecnologia | internet   | software        | 0.0000 | boi, estradas, congresso, atinge, discovery, si, previsto, ambas, natural, troca 
escola     | aluno      | professor  | ensino          | 0.0000 | usa, destaque, provocou, domesticados, fosseis, calculo, projeaaes, desejado, alimentares, since 
estudo     | livro      | conhecimento | universidade    | 0.0000 | artigo, estaaao, primeiras, jogadores, di, primeiro, antes, chamado, in, nasa 
amigo      | amizade    | companhia  | lealdade        | 0.0000 | hume, els, afirmam, traje, ouvir, primariamente, unidade, ltmathgt, francisco, populacional 
universidade | curso      | faculdade  | estudante       | 0.0000 | politics, productivity, lower, day, health, ireland, creation, species, antonietta, freedom 
arvore     | floresta   | natureza   | ambiente        | 0.0000 | webb, certa, unido, coreia, filosofia, classe, costa, poucos, enviado, ajudaram 
pintura    | artista    | tela       | cor             | 0.0000 | descem, campomanesia, hidalgo, tabajaras, repetidas, vindas, organiza, itaipu, paraenses, pressprimeiro 
mar        | praia      | areia      | sol             | 0.0000 | xote, bjp, norwegian, neerlandes, selecao, futebolcopa, racionalistas, recentesquot, misto, namequotdeprofundistordesilhasquot 
banco      | dinheiro   | caixa      | conta           | 0.0000 | imediatamente, casas, tatuloworld, dutch, querem, amsterda, direitos, perguntar, certa, limitados 
escola     | alunos     | professores | aprendizado     | 0.0000 | day, lower, ireland, farney, luna, camerlengo, health, autorjornal, bahialtref, saculos 
arte       | pintura    | escultura  | galeria         | 0.0000 | predicados, saara, sataliteio, circulam, tituloficha, professos, seguiram, inaugura, franaaltref, pequenogmelin 
caminho    | estrada    | trilha     | rota            | 0.0000 | traao, anarchists, macumba, piranga, aleos, ernest, quotidade, gellmann, comunitaria, meteoroides 
janela     | casa       | vidro      | abertura        | 0.0000 | quebra, deuses, dramatica, renaissance, procuram, denominacao, feios, crenca, inalterado, ignicao 
tela       | computador | monitor    | digital         | 0.0000 | estimulado, gol, academy, visaveis, desconfianaa, sous, deram, rugby, adequado, curtos 
teatro     | palco      | ator       | cena            | 0.0000 | httppdglblgovlistingsspdf, continuarem, namerosa, rochoso, absoluta, contratacoes, encyclopedialtrefgt, ring, perene, server 
pintura    | artista    | cor        | tela            | 0.0000 | ltmathgtdelta, berger, pes, surgir, gtthe, pintor, unir, campomanesia, verdadeiras, bromwich 
carro      | viagem     | estrada    | conforto        | 0.0000 | produz, pensamento, paulistaquot, quase, terceira, tubular, etc, align, fazer, membros 
caneta     | escrita    | papel      | tinta           | 0.0000 | devese, inicialmente, shuttle, usada, foguete, vento, embarcaaaes, combustao, importancia, machiavelli 
rua        | bairro     | cidade     | zona            | 0.0000 | dominantes, sabado, license, flecha, campanha, literacia, ocidentalltref, francesaltrefgtcitar, ligacoes, moveis 
janela     | vidro      | casa       | parede          | 0.0000 | quebra, deuses, dramatica, renaissance, procuram, denominacao, feios, crenca, inalterado, ignicao 
computador | teclado    | mouse      | tela            | 0.0000 | day, productivity, health, ireland, lower, creation, politics, species, generation, saculos 
filme      | cinema     | diretor    | ator            | 0.0000 | desktop, primeiroo, tambaba, induaao, jeranimos, bactarias, guararapes, lancando, prediction, destinados 
terra      | planeta    | sistema    | solar           | 0.0000 | tycho, transporte, nao, jogo, tambam, mao, durante, cartas, terrestre, traas 
