Resultado das Analogias
Base            | Target          | Palavras Preditas                        | Acurácia da Analogias
------------------------------------------------------------------------------------------
rei             | rainha          | cristo, irmã, profeta, relata, lobo, senhor, clara, filho, rapaz, pai | 0.0000
homem           | mulher          | verdadeira, mulher, discípulo, tranqüilas, verdadeiro, ensinou, espremer, céu, fé, bondade | 1.0000
pai             | mãe             | mãe, esposa, namorada, questionas, filho, desejo, rapaz, bruxa, irma, deslocada | 1.0000
gato            | felino          | bruxa, primo, caralho, gorda, rezar, acariciar, deitou, desesperada, dançou, burro | 0.0000
cachorro        | cão             | foda, loira, gorda, bruxa, hein, comendo, puta, chapeuzinho, lindo, morena | 0.0000
escola          | professor       | vila, palácio, organizou, paulista, colégio, brasília, direcção, presidência, jornalista, câmara | 0.0000
aluno           | estudante       | introduza, salvarmos, couchsurfing, professora, petismo, steinmetz, dª, bíblia, activação, remissão | 0.0000
médico          | paciente        | objetivas, questão, submetido, petismo, acusado, despertar, aborto, tese, autoridade, ato | 0.0000
enfermeira      | profissional    | carregal, sobrinha, pacheco, justus, menegatto, figueira, regiane, rockeiro, bochichi, busato | 0.0000
amigo           | amiga           | mando, adicionar, inesperado, colega, deixes, escrever, quebrado, jabor, apaixonado, merece | 0.0000
lago            | mar             | bloomberg, aldeia, beira, beirão, pouso, ribeirinhas, bandeira, passeio, guarda, desmantelou | 0.0000
rio             | correnteza      | bogas, fiama, praa, cri, ppsrj, showlivre, turi, haffner, rj, xeguei | 0.0000
vermelho        | azul            | chapéuzinho, fundiu, hemoglobina, espada, lágrima, estampado, capac, arco, bm, cola | 0.0000
rosa            | verde           | lobo, retrato, tira, raspadinhas, anel, valente, dalila, burro, tamanco, regina | 0.0000
luz             | noite           | pés, direção, barco, sombra, calor, corta, bloomberg, guarda, cheia, almoço | 0.0000
sol             | dia             | pés, chuva, sombra, inverno, céu, cai, prá, nuvens, areia, tomando | 0.0000
velho           | jovem           | tricolor, jojo, monte, rumo, capivari, bloomberg, portela, senhora, lobo, ressucitado | 0.0000
sábio           | inteligente     | ressucitado, cura, costas, impossível, garrafão, reinventou, canadiana, pés, cerimónia, mentir | 0.0000
mãe             | pai             | rapaz, bruxa, menino, repente, tô, debaixo, lembra, coração, estás, pés | 0.0000
irmão           | irmã            | ó, ténue, grito, sacerdotal, senaqueribe, figueira, emir, padre, brilhar, morena | 0.0000
carro           | ônibus          | saindo, porta, descer, arma, sinal, almoco, totalmente, anunciando, ligar, direto | 0.0000
bicicleta       | moto            | gelo, regalia, sapatos, vestir, bolo, roda, transformers, mole, fina, bolhas | 0.0000
sol             | lua             | pés, chuva, sombra, inverno, céu, cai, prá, nuvens, areia, tomando | 0.0000
estrela         | planeta         | lago, torre, emoção, negra, lavínia, vira, montanha, ponta, bloomberg, circo | 0.0000
cachorro        | gato            | foda, loira, gorda, bruxa, hein, comendo, puta, chapeuzinho, lindo, morena | 0.0000
felino          | animal          | sedutoramente, casebre, armazens, euforia, dasein, hosho, melancólica, hás, frágil, empresarionline | 0.0000
estudante       | aluno           | produtor, conquista, celebra, representante, formado, morreu, empresário, estudou, prefeito, recém | 0.0000
enfermeira      | cirurgião       | carregal, sobrinha, pacheco, justus, menegatto, figueira, regiane, rockeiro, bochichi, busato | 0.0000
quente          | frio            | pés, fria, vagido, fogo, pé, calor, cabeça, delicioso, esterilizado, sobremesa | 0.0000
calor           | gelo            | pés, quente, cheia, cabeça, fria, pé, chuva, fogo, frio, água | 0.0000
mar             | oceano          | sol, revoadas, monte, passeio, céu, inverno, montanhas, lago, revolto, voltei | 0.0000
rio             | lago            | bogas, fiama, praa, cri, ppsrj, showlivre, turi, haffner, rj, xeguei | 0.0000
rápido          | lento           | paxson, indemnização, disposição, consistentemente, falhanço, neurónios, escaparam, aumentando, obstáculos, situações | 0.0000
veloz           | devagar         | falcon, traseiro, touchscreen, palhetas, torque, cilindrada, transmissor, estéreo, infocus, bw | 0.0000
dia             | noite           | domingo, sugado, manha, nubentes, sabado, mediatico, noite, interpam, saloio, recepo | 1.0000
manhã           | tarde           | café, difamador, termina, recomecei, chegámos, nabucodonozor, ﮨઔﮨణ, acordei, voltei, vaum | 0.0000
fruta           | maçã            | pietra, claras, pote, braços, pedacinhos, suaves, frango, dentes, chão, mole | 0.0000
vegetal         | alface          | caracterizada, alimentacao, microbiologica, essencialmente, animal, minerais, eletrolitos, antifuro, cultivos, mineral | 0.0000
avó             | avô             | diabo, covardia, ténue, bruxa, comeu, flor, irmã, nojo, sorriso, molhadinhas | 0.0000
neto            | neta            | luciane, maurício, alencar, nunes, andré, macedo, rô, ventura, aguiar, cardoso | 0.0000
escritor        | livro           | mestre, poeta, filipe, pastor, luiz, contou, teo, jesus, louvado, carlos | 0.0000
autor           | manuscrito      | autora, enviado, viewpoint, congestionamento, aceda, assunto, escreveu, propósito, mestre, tetraplégico | 0.0000
político        | governo         | acção, justiça, defende, assume, petroassist, afirma, ultrapassagem, empregador, senado, vítima | 0.0000
país            | nação           | atualmente, derrotou, atingirá, nordeste, êxito, continente, cenário, concluiu, periferia, pas | 0.0000
telefone        | celular         | fax, fone, cel, tel, rua, morada, eventosaabicorgbr, gislenealencar, cep, calaca | 0.0000
computador      | tablet          | aparelho, wirelles, usando, visual, instalar, virus, externo, jre, executar, gravados | 0.0000
cineasta        | filme           | emblemático, bale, pianista, juca, gustavo, vanderlei, mozart, ventrículo, ツ, usain | 0.0000
ator            | atriz           | atriz, jabour, pornô, cantora, criador, altman, arthur, casamento, decolou, ventrículo | 1.0000
pintor          | quadro          | confusos, discernimento, estrangeiras, esfera, porventura, depreciativo, aconselhável, planeiam, pirado, vilanovense | 0.0000
artista         | escultura       | audaci, luders, olson, documentário, autora, biografia, amorizade, marçal, espreite, sepultura | 0.0000
cão             | cachorro        | dequejeito, desejares, densa, reraise, louquitchas, enxergava, peladinhas, densky, crediário, ajustadas | 0.0000
gato            | felino          | bruxa, primo, caralho, gorda, rezar, acariciar, deitou, desesperada, dançou, burro | 0.0000
verão           | inverno         | inverno, termina, desmantelou, nabucodonozor, chegámos, dragonfly, cerimônia, salgadinho, ressurreição, garatujas | 1.0000
primavera       | outono          | estacoes, olimpíadas, onipresente, maré, bucks, raffa, goyta, outono, tropicalismo, boticas | 1.0000
